code,subsystem,severity,title,description,likely_causes,recovery_steps,verification,notes
37,"Drive","Medium","Drive torque mismatch","Drive reports torque mismatch during motion.","Loose motor connector; driver overheated; encoder slip.","1) Stop AMR safely 2) Power cycle 60s 3) Inspect motor/driver connectors 4) Check encoder seating 5) Retry slow move test.","Run 2m low-speed path; verify no alarms.","If repeats, capture driver LED pattern."
41,"Drive","High","Motor overcurrent trip","Drive current exceeded limit; controller cut output.","Wheel obstruction; seized bearing; cable short; aggressive accel settings.","1) E-Stop then clear 2) Inspect wheel path for obstruction 3) Check wheel rotation by hand 4) Power cycle 5) Retry with reduced speed.","Successful 3 starts/stops without trip.","If physical resistance found, remove from service."
52,"Drive","Low","Driver comm reset","Transient comm reset between controller and drive.","EMI spike; loose comm cable.","1) Clear alarm 2) Reseat comm cable 3) Retry mission.","No further comm resets in 10 min.","Log time of event."
105,"Navigation","Medium","Localization confidence low","Localization confidence dropped below threshold.","Dirty lidar cover; reflective surfaces; map mismatch.","1) Clean lidar window 2) Move to known landmark 3) Run relocalize routine 4) Retry mission.","Confidence stable >90% for 5 min.","Capture area photo if recurring."
112,"Navigation","High","Path planning blocked","Planner cannot find a valid path to goal.","Aisle blocked; forbidden zone too large; map stale.","1) Check aisle blockage 2) Move AMR to open area 3) Retry with alternate waypoint 4) Confirm map zones.","Planner finds route; mission resumes.","If zone config issue, notify controls."
118,"Navigation","Low","Odometry drift warning","Small drift detected but system compensated.","Uneven floor; wheel wear.","1) Acknowledge 2) Monitor for repeats 3) Schedule wheel inspection.","No repeat within shift.","Preventive maintenance flag."
201,"Battery","Medium","Battery undervoltage under load","Voltage sag under acceleration.","Battery aging; poor contact; cold pack.","1) Dock and charge 10 min 2) Inspect battery latch 3) Retry reduced speed.","Voltage stable; no sag alarms.","If repeats, perform battery health check."
207,"Battery","High","Charging handshake failed","Charger did not complete handshake.","Dirty charge contacts; charger offline; comm cable issue.","1) Clean charge contacts 2) Re-seat at dock 3) Reboot dock if allowed 4) Retry.","Charge current ramps within 30s.","If dock down, redirect to spare dock."
214,"Battery","Low","Charge session interrupted","Charge session stopped unexpectedly.","Minor dock bump; transient power.","1) Re-dock 2) Verify dock power LED 3) Retry.","Charge continues 5 min+.","Log dock ID."
305,"Lift","Medium","Lift home not detected","Lift cannot confirm home sensor.","Sensor blocked; cable loose; mechanical misalignment.","1) Clear obstruction 2) Inspect home sensor area 3) Power cycle 4) Run lift homing.","Homing completes; lift responds.","If sensor damaged, remove from service."
318,"Lift","High","Lift overload detected","Load exceeds lift threshold.","Incorrect load; jam; pallet misaligned.","1) Stop operation 2) Remove excess load 3) Re-align pallet 4) Retry lift.","Lift completes full up/down cycle.","Photograph load condition."
329,"Lift","Low","Gripper open timeout","Gripper did not reach open state in time.","Low air pressure; sticky mechanism.","1) Check air supply 2) Cycle gripper 3) Retry.","Gripper opens/closes smoothly 3 cycles.","Maintenance if sticky."
401,"Safety","High","Safety scanner blocked","Safety field obstructed or scanner reports blocked.","Tape on scanner; dust; object too close.","1) Remove obstruction 2) Clean scanner lens 3) Reset safety 4) Retry.","Safety clears; AMR transitions to Ready.","If recurring, check mounting angle."
409,"Safety","Medium","E-Stop circuit open","E-stop chain open detected.","Pressed E-stop; loose connector.","1) Verify E-stop released 2) Check E-stop panel connector 3) Reset controller.","E-stop state returns to OK.","Record which station."
418,"Safety","Low","Safety acknowledgment required","Safety event cleared; needs acknowledgment.","Operator cleared field.","1) Acknowledge on HMI 2) Resume mission.","Mission resumes normally.","Training note."
503,"Comms","Medium","Wi‑Fi roaming instability","Frequent AP roaming caused packet loss.","Weak coverage; AP overload.","1) Move to stronger signal area 2) Retry mission 3) Note AP location.","Stable ping for 2 min.","Escalate to IT if persistent."
512,"Comms","High","Controller heartbeat lost","Fleet manager lost heartbeat to AMR.","AP down; switch issue; NIC fault.","1) Verify Wi‑Fi LED 2) Reboot comm module 3) Try fallback AP area.","Heartbeat restored; AMR visible in fleet.","Collect time + location."
519,"Comms","Low","Telemetry delayed","Non‑critical telemetry delay.","Temporary bandwidth.","1) Monitor 2) No action if mission ok.","Telemetry normal in 5 min.","N/A"
605,"Perception","Medium","Camera exposure out of range","Camera exposure saturation reduces detection.","Lighting change; lens smudge.","1) Clean lens 2) Adjust lighting if allowed 3) Retry capture.","Detection success 3 tries.","Note lighting condition."
611,"Perception","High","Barcode read failures high","Barcode reads failing above threshold.","Damaged labels; glare; focus drift.","1) Clean lens 2) Reduce glare 3) Retry with manual scan if available.","Read success restored <10% fail.","If label issue, notify upstream."
699,"Firmware","Medium","Motion controller watchdog reset","Watchdog reset occurred; system recovered.","Transient firmware glitch; noise.","1) Clear alarms 2) Power cycle 60s 3) Retry mission.","No reset in 30 min.","If repeats, capture logs."
702,"Firmware","High","Config checksum mismatch","Config checksum mismatch at boot.","Corrupt config; failed update.","1) Do not operate 2) Restore last known config 3) Reboot.","Checksum OK after restore.","If restore not possible, escalate."
801,"Operations","Medium","Task state conflict","Task state in fleet does not match AMR state.","Retry queued; stale task.","1) Cancel task 2) Reassign 3) Restart client if allowed.","Task executes normally.","Record task ID."
812,"Operations","High","Repeated mission aborts","Mission abort repeated within 10 minutes.","Downstream blockage; safety triggers; nav failure.","1) Review last abort reason 2) Clear environment issue 3) Retry with alternate route.","Abort stops repeating.","If unknown cause, escalate."
